instant_hourly,date,season,year,mnth_hourly,hour,holiday_hourly,weekday_hourly,workingday_hourly,weather_condition,temp_hourly,atemp_hourly,hum_hourly,windspeed_hourly,casual_hourly,registered_hourly,total_count,instant_daily,temp_daily,atemp_daily,hum_daily,windspeed_daily,casual_daily,registered_daily,cnt_daily,time_category
1,2011-01-01,Spring,2011,1,0,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.24,0.2879,0.81,0.0,3,13,16,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Night
2,2011-01-01,Spring,2011,1,1,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,8,32,40,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Night
3,2011-01-01,Spring,2011,1,2,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,5,27,32,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Night
4,2011-01-01,Spring,2011,1,3,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,3,10,13,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Night
5,2011-01-01,Spring,2011,1,4,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,0,1,1,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Night
6,2011-01-01,Spring,2011,1,5,0,6,Holiday/Weekend,Misty/Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Morning
7,2011-01-01,Spring,2011,1,6,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,2,0,2,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Morning
8,2011-01-01,Spring,2011,1,7,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.2,0.2576,0.86,0.0,1,2,3,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Morning
9,2011-01-01,Spring,2011,1,8,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,1,7,8,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Morning
10,2011-01-01,Spring,2011,1,9,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.32,0.3485,0.76,0.0,8,6,14,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Morning
11,2011-01-01,Spring,2011,1,10,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.38,0.3939,0.76,0.2537,12,24,36,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Morning
12,2011-01-01,Spring,2011,1,11,0,6,Holiday/Weekend,Clear/Partly Cloudy,0.36,0.3333,0.81,0.2836,26,30,56,1,0.344167,0.363625,0.805833,0.160446,331,654,985,Morning
